"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 00541","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","x","x","x","x","x","x","x","x","x","x","ICZN","x","x","x","x","Garcia, M.","x","x","20","10","2010","x","x","20.X.2010","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","20°24'54''S","54°30'48''W","-20.415000","-54.513333","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 00542","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","x","x","x","x","x","x","x","x","x","x","ICZN","x","x","x","x","Carvalho, F.","x","x","15","8","2006","x","x","15.VIII.2006","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 00543","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","x","x","x","x","x","x","x","x","x","x","ICZN","x","x","x","x","x","x","x","5","11","2004","x","x","5.XI.2004","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Paraíso","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 00544","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","x","x","x","x","x","x","x","x","x","x","ICZN","x","x","x","x","Carvalho, M. R.; Fecchio, A. & Inocêncio, L. A.","x","x","3","10","2000","x","x","3.X.2000","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Vila Progresso","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 02871","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","x","x","x","x","x","x","x","x","x","x","ICZN","x","x","x","x","Boff, S. & Graciolli, G.","x","x","16","5","2005","x","x","16.V.2005","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Embrapa Gado de Corte; Reserva de Cerrado","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 02872","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","x","x","x","x","x","x","x","x","x","x","ICZN","x","x","x","x","Boff, S. & Graciolli, G.","x","x","11","5","2005","x","x","11.V.2005","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Embrapa Gado de Corte; Reserva de Cerrado","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 02873","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","x","x","x","x","x","x","x","x","x","x","ICZN","x","x","x","x","Vandir","x","x","x","x","2007","x","x","2007","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Miranda","x","Refúgio Ecológico Caiman","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 02874","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","x","x","x","x","x","x","x","x","x","x","ICZN","x","x","x","x","Vandir","x","x","x","x","2007","x","x","2007","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Miranda","x","Refúgio Ecológico Caiman","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 05021","x","x","Blattidae","Blattidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","Blattidae","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","7","2","2012","x","x","7.II.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 05022","x","x","Blattidae","Blattidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","Blattidae","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","9","11","2011","x","x","9.XI.2011","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
