"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 290","x","00286","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",930,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 291","x","00287","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",1258,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 292","x","00288","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-21","x","ICZN","x","MARINI, A. C.","1996-05-30","x","MARINI, A. C. et al.",871,"x","24","10","1995",01:00:00,"x","24.X.1995","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS; Mata Ciliar do Rio Miranda","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 293","x","00289","verde","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-21","x","ICZN","x","MARINI, A. C.","1996-11-12","x","MARINI, A. C. et al.",1312,"x","25","10","1995",00:00:00,"x","25.X.1995","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Paratudal","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","Material a ser identificado em MG","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 294","x","00290","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-21","x","ICZN","x","MARINI, A. C.","1996-05-30","x","MARINI, A. C. et al.",895,"x","24","10","1995",02:00:00,"x","24.X.1995","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Paratudal","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 295","x","00291","verde","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-22","x","ICZN","x","MARINI, A. C.","1996-11-11","x","MARINI, A. C. et al.",1235,"x","23","10","1995",00:00:00,"x","23.X.1995","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS; Mata Ciliar do Rio Miranda","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","Material a ser identificado em MG","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 296","x","00292","verde","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-22","x","ICZN","x","MARINI, A. C.","1996-11-11","x","MARINI, A. C. et al.","AA22","x","23","10","1995",00:00:00,"x","23.X.1995","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS; Mata Ciliar do Rio Miranda","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","Material a ser identificado em MG","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 297","x","00293","verde","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","Arctiinae","x","x","x","x","x","subfamília","verificar taxonomia","Arctiinae-26","x","ICZN","x","MARINI, A. C.","1998-02-02","x","MARINI, A. C. et al.",3467,"x","09","12","1996",01:00:00,"x","09.XII.1996","isca luminosa","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS; Mata Ciliar do Rio Miranda","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","Material a ser identificado em MG","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 298","x","00294","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",3465,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 299","x","00295","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",3464,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 300","x","00296","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",3466,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-09-05","verificar dados no exemplar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-LEP...","ARMÁRIO 301","x","00297","amarelo","nenhum","x","x","x","Animalia","Arthropoda","x","Insecta","Lepidoptera","Glossata","Arctiidae","x","x","x","x","x","x","família","verificar taxonomia","x","x","ICZN","x","x","x","x","x",3461,"x","x","x","x","x","x","x","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","x","x","x","x","x","x","x","x","x"
