"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Infraordem","Família","Subfamília","Tribo","Subtribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-01-10","rever identificação; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09672","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","x","Cicadedae ","x","x","x","x","x","x","x","família","aceito","x","x","x","x","x","x","x","Ferraro, A.","x","x","18","10","2010","x","x","18.X.2010","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Campo Grande ","x","x","20°29'S","54°36'W","-20.483333","-54.600000","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09719","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","x","x","x","x","x","x","x","x","x","x","ordem","aceito","x","x","x","x","x","x","x","Vicente, M. R.","x","x","15","07","2007","x","x","15.VII.2007","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Bairro Bonança ","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09774","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","x","x","x","x","x","x","x","x","x","x","ordem","aceito","x","x","x","x","x","x","x","Pinto, A. S. C.","x","x","16","09","2007","x","x","16.IX.2007","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Bairro Caiçara ","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09688","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","x","x","x","x","x","x","x","x","x","x","ordem","aceito","x","x","x","x","x","x","x","Silva, S. Z.","x","x","09","06","1985","x","x","09.VI.1985","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Bairro Miguel Couto ","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09694","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","x","x","x","x","x","x","x","x","x","x","ordem","aceito","x","x","x","x","x","x","x","Neto, F.","x","x","17","08","2006","x","x","17.VIII.2006","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09695","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","x","x","x","x","x","x","x","x","x","x","ordem","aceito","x","x","x","x","x","x","x","Olivier, R. S.","x","x","07","11","2010","x","x","07.XI.2010","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá ","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'37""S","54°01'09""W","-19.576944","-54.019167","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09721","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","x","x","x","x","x","x","x","x","x","x","ordem","aceito","x","x","x","x","x","x","x","Cypriano, R.","x","x","11","04","2007","x","x","11.IV.2007","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Santa Rita do Pardo ","x","Centro de Santa Rita do Pardo ","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09775","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","x","x","x","x","x","x","x","x","x","x","ordem","aceito","x","x","x","x","x","x","x","Maier, J. E.","x","x","01","10","2007","x","x","01.X.2007","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Chácara Vida Nova ","20°34'4.81""S","54°40'18.20""W","-20.568003","-54.671722","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09786","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","x","x","x","x","x","x","x","x","x","x","ordem","aceito","x","x","x","x","x","x","x","Maier, J. E.","x","x","02","10","2007","x","x","02.X.2007","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Chácara Vida Nova ","20°34'4.81""S","54°40'18.20""W","-20.568003","-54.671722","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09788","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","x","x","x","x","x","x","x","x","x","x","ordem","aceito","x","x","x","x","x","x","x","Maier, J. E.","x","x","03","10","2007","x","x","03.X.2007","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Chácara Vida Nova ","20°34'4.81""S","54°40'18.20""W","-20.568003","-54.671722","x","WGS84","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
