"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização no Armário (Gaveta/Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12485","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12486","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12487","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12488","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12489","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12490","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12491","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12492","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12493","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12494","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12495","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12496","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12497","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12498","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12499","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12500","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12501","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12502","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12503","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12504","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12505","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12506","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12507","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12508","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,"7b","CEUFMS 12509","nenhum","nenhum","Paulinia acuminata (De Geer, 1773)","Paulinia acuminata","(De Geer, 1773)","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","Caelifera","Acrididae","Pauliniinae","Pauliniini","Paulinia","x","acuminata","x","espécie","aceito","x","indeterminado","ICZN","x","OLIVIER, R. S.","2013","voucher","SINANI, T. R. F.","x","x","09","11","2013","x","2013-11-05/2013-11-09","09.XI.2013","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul ","Porto Murtinho ","x","Fazenda Santa Vergínea","22°01'35""S","57°54'16""W","-22.02647","-57.90446","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","rever coordenadas","nenhuma","Cigliano et al., 2020","x","x"
